ticker,row_count,first_date_all,last_date_all,first_valid_close_date,last_valid_close_date,non_null_close_count,null_close_count,min_close,max_close
SPY,4074,2010-01-04,2026-03-16,2010-01-04,2026-03-16,4074,0,77.35952758789062,695.489990234375
XLB,4074,2010-01-04,2026-03-16,2010-01-04,2026-03-16,4074,0,10.017521858215332,53.619998931884766
XLC,4074,2010-01-04,2026-03-16,2018-06-19,2026-03-16,1945,2129,36.46585464477539,120.08000183105467
XLE,4074,2010-01-04,2026-03-16,2010-01-04,2026-03-16,4074,0,9.30568504333496,57.900001525878906
XLF,4074,2010-01-04,2026-03-16,2010-01-04,2026-03-16,4074,0,7.043539524078369,56.400001525878906
XLI,4074,2010-01-04,2026-03-16,2010-01-04,2026-03-16,4074,0,19.92953491210937,178.89999389648438
XLK,4074,2010-01-04,2026-03-16,2010-01-04,2026-03-16,4074,0,8.243013381958008,151.83470153808594
XLRE,4074,2010-01-04,2026-03-16,2015-10-08,2026-03-16,2623,1451,19.299819946289062,45.145286560058594
XLU,4074,2010-01-04,2026-03-16,2010-01-04,2026-03-16,4074,0,8.1593656539917,47.72999954223633
XLV,4074,2010-01-04,2026-03-16,2010-01-04,2026-03-16,4074,0,21.482484817504883,160.1999969482422
XLY,4074,2010-01-04,2026-03-16,2010-01-04,2026-03-16,4074,0,11.75367546081543,124.5199966430664
