ticker,valid_windows_full_history,mean_rolling_12m_return_full_history,median_rolling_12m_return_full_history,min_rolling_12m_return_full_history,max_rolling_12m_return_full_history,threshold_full_history,windows_above_threshold_full_history,total_valid_windows_full_history,exceedance_rate_full_history,annualized_volatility_full_history,max_drawdown_full_history,n_return_obs_full_history,valid_windows_common_window,mean_rolling_12m_return_common_window,median_rolling_12m_return_common_window,min_rolling_12m_return_common_window,max_rolling_12m_return_common_window,threshold_common_window,windows_above_threshold_common_window,total_valid_windows_common_window,exceedance_rate_common_window,annualized_volatility_common_window,max_drawdown_common_window,n_return_obs_common_window,exceedance_rate_diff_common_minus_full,mean_rolling_12m_return_diff_common_minus_full,annualized_volatility_diff_common_minus_full,max_drawdown_diff_common_minus_full
SPY,183,0.1481,0.1599,-0.1818,0.5623,0.05,145,183,0.7923,0.1425,-0.2393,194,83,0.1584,0.1632,-0.1818,0.5623,0.05,64,83,0.7711,0.1646,-0.2393,94,-0.0212,0.0103,0.0221,0.0
XLB,183,0.1033,0.1029,-0.1786,0.7838,0.05,113,183,0.6175,0.19,-0.2738,194,83,0.1079,0.0967,-0.1695,0.7838,0.05,46,83,0.5542,0.2047,-0.2618,94,-0.0633,0.0046,0.0147,0.012
XLC,82,0.1755,0.231,-0.3967,0.6698,0.05,61,82,0.7439,0.1901,-0.4346,93,82,0.1755,0.231,-0.3967,0.6698,0.05,61,82,0.7439,0.1901,-0.4346,93,0.0,0.0,0.0,0.0
XLE,183,0.1,0.0607,-0.5241,1.0954,0.05,99,183,0.541,0.266,-0.6397,194,83,0.1439,0.0915,-0.5241,1.0954,0.05,49,83,0.5904,0.3236,-0.5821,94,0.0494,0.0439,0.0576,0.0576
XLF,183,0.1367,0.1328,-0.1753,0.7181,0.05,114,183,0.623,0.1859,-0.3179,194,83,0.1444,0.1148,-0.1753,0.7181,0.05,49,83,0.5904,0.2059,-0.3179,94,-0.0326,0.0077,0.02,0.0
XLI,183,0.1426,0.1468,-0.1958,0.6944,0.05,133,183,0.7268,0.1773,-0.2715,194,83,0.1439,0.1534,-0.1958,0.6944,0.05,58,83,0.6988,0.2043,-0.2715,94,-0.028,0.0013,0.027,0.0
XLK,183,0.2029,0.2145,-0.2773,0.6681,0.05,157,183,0.8579,0.175,-0.3121,194,83,0.2412,0.264,-0.2773,0.6681,0.05,69,83,0.8313,0.2087,-0.3121,94,-0.0266,0.0383,0.0337,0.0
XLRE,114,0.0748,0.0486,-0.2625,0.461,0.05,54,114,0.4737,0.1697,-0.3225,125,83,0.0802,0.0509,-0.2625,0.461,0.05,43,83,0.5181,0.1822,-0.3225,94,0.0444,0.0054,0.0125,0.0
XLU,183,0.1137,0.1203,-0.1271,0.4159,0.05,135,183,0.7377,0.1413,-0.1887,194,83,0.1107,0.1248,-0.1271,0.4159,0.05,55,83,0.6627,0.16,-0.1887,94,-0.075,-0.003,0.0187,0.0
XLV,183,0.1327,0.1283,-0.1135,0.4141,0.05,137,183,0.7486,0.1362,-0.1562,194,83,0.0947,0.0861,-0.1135,0.3389,0.05,52,83,0.6265,0.153,-0.1562,94,-0.1221,-0.038,0.0168,0.0
XLY,183,0.1602,0.1658,-0.3627,0.7272,0.05,158,183,0.8634,0.1837,-0.3627,194,83,0.1378,0.15,-0.3627,0.7272,0.05,65,83,0.7831,0.2214,-0.3627,94,-0.0803,-0.0224,0.0377,0.0
