ticker,mode,valid_windows,mean_rolling_12m_return,median_rolling_12m_return,min_rolling_12m_return,max_rolling_12m_return,threshold,windows_above_threshold,total_valid_windows,exceedance_rate,annualized_volatility,max_drawdown,n_return_obs
XLY,full-history,183,0.1602,0.1658,-0.3627,0.7272,0.05,158,183,0.8634,0.1837,-0.3627,194
XLK,full-history,183,0.2029,0.2145,-0.2773,0.6681,0.05,157,183,0.8579,0.175,-0.3121,194
SPY,full-history,183,0.1481,0.1599,-0.1818,0.5623,0.05,145,183,0.7923,0.1425,-0.2393,194
XLV,full-history,183,0.1327,0.1283,-0.1135,0.4141,0.05,137,183,0.7486,0.1362,-0.1562,194
XLC,full-history,82,0.1755,0.231,-0.3967,0.6698,0.05,61,82,0.7439,0.1901,-0.4346,93
XLU,full-history,183,0.1137,0.1203,-0.1271,0.4159,0.05,135,183,0.7377,0.1413,-0.1887,194
XLI,full-history,183,0.1426,0.1468,-0.1958,0.6944,0.05,133,183,0.7268,0.1773,-0.2715,194
XLF,full-history,183,0.1367,0.1328,-0.1753,0.7181,0.05,114,183,0.623,0.1859,-0.3179,194
XLB,full-history,183,0.1033,0.1029,-0.1786,0.7838,0.05,113,183,0.6175,0.19,-0.2738,194
XLE,full-history,183,0.1,0.0607,-0.5241,1.0954,0.05,99,183,0.541,0.266,-0.6397,194
XLRE,full-history,114,0.0748,0.0486,-0.2625,0.461,0.05,54,114,0.4737,0.1697,-0.3225,125
