ticker,row_count,non_null_adj_close,non_null_spy_adj_close,non_null_ratio_value,min_date,max_date
XLB,4095,4095,4095,4095,2010-01-04,2026-04-15
XLC,4095,1966,4095,1966,2018-06-19,2026-04-15
XLE,4095,4095,4095,4095,2010-01-04,2026-04-15
XLF,4095,4095,4095,4095,2010-01-04,2026-04-15
XLI,4095,4095,4095,4095,2010-01-04,2026-04-15
XLK,4095,4095,4095,4095,2010-01-04,2026-04-15
XLP,4095,4095,4095,4095,2010-01-04,2026-04-15
XLRE,4095,2644,4095,2644,2015-10-08,2026-04-15
XLU,4095,4095,4095,4095,2010-01-04,2026-04-15
XLV,4095,4095,4095,4095,2010-01-04,2026-04-15
XLY,4095,4095,4095,4095,2010-01-04,2026-04-15
