ticker,direction,row_count
XLB,HH/HL,267
XLB,INSUFFICIENT_HISTORY,11
XLB,LH/LL,371
XLB,TRANSITION,201
XLC,HH/HL,152
XLC,INSUFFICIENT_HISTORY,11
XLC,LH/LL,136
XLC,NO_RATIO,441
XLC,TRANSITION,110
XLE,HH/HL,272
XLE,INSUFFICIENT_HISTORY,11
XLE,LH/LL,405
XLE,TRANSITION,162
XLF,HH/HL,314
XLF,INSUFFICIENT_HISTORY,11
XLF,LH/LL,354
XLF,TRANSITION,171
XLI,HH/HL,325
XLI,INSUFFICIENT_HISTORY,11
XLI,LH/LL,327
XLI,TRANSITION,187
XLK,HH/HL,394
XLK,INSUFFICIENT_HISTORY,11
XLK,LH/LL,255
XLK,TRANSITION,190
XLP,HH/HL,272
XLP,INSUFFICIENT_HISTORY,11
XLP,LH/LL,415
XLP,TRANSITION,152
XLRE,HH/HL,170
XLRE,INSUFFICIENT_HISTORY,11
XLRE,LH/LL,257
XLRE,NO_RATIO,300
XLRE,TRANSITION,112
XLU,HH/HL,301
XLU,INSUFFICIENT_HISTORY,11
XLU,LH/LL,359
XLU,TRANSITION,179
XLV,HH/HL,343
XLV,INSUFFICIENT_HISTORY,11
XLV,LH/LL,309
XLV,TRANSITION,187
XLY,HH/HL,362
XLY,INSUFFICIENT_HISTORY,11
XLY,LH/LL,301
XLY,TRANSITION,176
