ticker,direction,run_count,avg_duration_weeks,median_duration_weeks,min_duration_weeks,max_duration_weeks
XLB,HH/HL,69,4.16,4.0,1,15
XLB,LH/LL,65,5.48,4.0,1,18
XLB,TRANSITION,108,1.85,2.0,1,5
XLC,HH/HL,34,4.35,4.0,1,13
XLC,LH/LL,30,4.4,3.5,1,16
XLC,TRANSITION,55,2.22,2.0,1,10
XLE,HH/HL,61,4.52,3.0,1,28
XLE,LH/LL,58,6.91,5.5,1,23
XLE,TRANSITION,98,1.69,1.0,1,6
XLF,HH/HL,61,5.05,5.0,1,13
XLF,LH/LL,64,5.66,4.0,1,36
XLF,TRANSITION,103,1.68,1.0,1,6
XLI,HH/HL,60,5.52,4.5,1,20
XLI,LH/LL,67,5.0,4.0,1,18
XLI,TRANSITION,100,1.77,1.0,1,8
XLK,HH/HL,63,6.17,5.0,1,25
XLK,LH/LL,60,4.73,4.0,1,15
XLK,TRANSITION,95,1.79,1.0,1,5
XLP,HH/HL,56,5.11,4.0,1,15
XLP,LH/LL,61,6.59,6.0,1,25
XLP,TRANSITION,90,1.72,1.0,1,4
XLRE,HH/HL,39,4.41,4.0,1,11
XLRE,LH/LL,48,5.48,5.0,1,17
XLRE,TRANSITION,76,1.42,1.0,1,4
XLU,HH/HL,61,5.23,4.0,1,15
XLU,LH/LL,68,5.13,4.0,1,15
XLU,TRANSITION,104,1.68,1.0,1,7
XLV,HH/HL,57,5.95,4.0,1,27
XLV,LH/LL,57,5.67,5.0,1,19
XLV,TRANSITION,99,1.83,1.0,1,7
XLY,HH/HL,65,5.68,5.0,1,26
XLY,LH/LL,65,4.85,4.0,1,15
XLY,TRANSITION,92,1.73,1.0,1,6
