ticker,latest_direction,start_date,end_date,latest_duration_weeks,historical_avg_duration_weeks_same_direction,difference_vs_historical_avg_weeks
XLB,TRANSITION,2026-04-17,2026-04-17,1,1.85,-0.85
XLC,LH/LL,2026-04-10,2026-04-17,2,4.4,-2.4
XLE,TRANSITION,2026-04-17,2026-04-17,1,1.69,-0.69
XLF,HH/HL,2026-04-17,2026-04-17,1,5.05,-4.05
XLI,LH/LL,2026-03-27,2026-04-17,4,5.0,-1.0
XLK,HH/HL,2026-03-27,2026-04-17,4,6.17,-2.17
XLP,LH/LL,2026-03-27,2026-04-17,4,6.59,-2.59
XLRE,LH/LL,2026-04-03,2026-04-17,3,5.48,-2.48
XLU,TRANSITION,2026-04-17,2026-04-17,1,1.68,-0.68
XLV,LH/LL,2026-03-27,2026-04-17,4,5.67,-1.67
XLY,LH/LL,2026-02-06,2026-04-17,11,4.85,6.15
