ticker,annual_return,annual_volatility,observations
XLB,0.059276055348689516,0.23960371263183844,6415
XLC,0.09309326745559532,0.2368712994552026,1512
XLE,0.0554974693507837,0.2904803915948352,6415
XLF,0.031546356555730126,0.2897800670671295,6415
XLI,0.06774070008670074,0.21333116817424785,6415
XLK,0.0791506960780366,0.2591677090663519,6415
XLP,0.04358151079801709,0.15409750281483484,6415
XLRE,0.029029720339365683,0.212795331472117,2190
XLU,0.03425289567011802,0.19550285814236695,6415
XLV,0.07220849361323345,0.18022136960200544,6415
XLY,0.08027472488190646,0.22697587079970633,6415
